shot_distance,angle,shot_type,defensive_pressure,assist_type,goal
35.11409973215888,19.98310652189998,Open Play,high,through_ball,0
12.529964086141668,28.61045966596522,Open Play,high,through_ball,0
8.06225774829855,7.125016348901798,Open Play,high,through_ball,0
9.219544457292887,12.528807709151511,Open Play,high,through_ball,0
15.811388300841896,34.69515353123397,Open Play,high,through_ball,0
21.400934559032695,37.40535663140855,Open Play,high,none,0
22.67156809750927,48.57633437499735,Open Play,high,through_ball,0
12.806248474865697,51.34019174590991,Open Play,high,through_ball,0
13.152946437965905,8.74616226255521,Open Play,high,none,0
9.219544457292887,40.60129464500447,Open Play,high,through_ball,0
27.784887978899608,30.256437163529263,Free Kick,high,none,0
35.4682957019364,40.426078740099136,Open Play,high,through_ball,0
9.899494936611665,45.0,Open Play,high,through_ball,0
36.76955262170047,22.380135051959574,Open Play,high,none,0
25.942243542145693,27.5528115767178,Open Play,high,through_ball,0
20.12461179749811,26.56505117707799,Free Kick,high,none,0
12.806248474865697,51.34019174590991,Open Play,high,none,0
9.219544457292887,12.528807709151511,Open Play,high,none,0
35.510561809129406,32.34744349944203,Open Play,high,through_ball,0
24.186773244895647,7.125016348901798,Free Kick,high,none,1
9.486832980505138,18.43494882292201,Open Play,high,through_ball,0
32.802438933713454,37.568592028827496,Open Play,high,through_ball,0
22.02271554554524,2.602562202499806,Open Play,high,none,0
35.84689665786984,22.98871680208064,Open Play,high,through_ball,0
21.470910553583888,27.758540601060023,Open Play,high,none,0
18.027756377319946,3.1798301198642345,Open Play,high,through_ball,0
20.0,36.86989764584402,Open Play,high,through_ball,0
33.83784863137726,18.970407808486545,Open Play,high,through_ball,0
24.515301344262525,11.768288932020644,Open Play,high,through_ball,0
23.769728648009426,14.620873988631656,Open Play,high,none,0
17.029386365926403,3.3664606634298013,Open Play,high,none,0
16.1245154965971,82.8749836510982,Open Play,high,through_ball,0
6.0,0.0,Open Play,high,through_ball,1
12.806248474865697,51.34019174590991,Open Play,high,none,0
9.848857801796104,23.962488974578186,Open Play,high,none,0
23.40939982143925,19.98310652189998,Open Play,high,none,0
15.811388300841896,71.56505117707799,Open Play,high,through_ball,0
25.495097567963924,11.309932474020213,Open Play,high,none,0
13.892443989449804,59.743562836470744,Open Play,high,through_ball,0
17.46424919657298,66.37062226934319,Open Play,high,none,0
35.35533905932738,28.739795291688043,Open Play,high,through_ball,0
9.899494936611665,45.0,Open Play,high,through_ball,0
30.083217912982647,21.44773632710535,Open Play,high,through_ball,0
11.40175425099138,52.1250163489018,Open Play,high,through_ball,0
22.80350850198276,52.1250163489018,Open Play,high,through_ball,0
19.924858845171276,17.52556837372287,Open Play,high,through_ball,0
6.082762530298219,9.462322208025617,Open Play,high,through_ball,0
15.811388300841896,55.30484646876604,Open Play,high,through_ball,0
9.219544457292887,49.398705354995535,Open Play,high,through_ball,1
15.264337522473747,31.6075022462489,Open Play,high,through_ball,0
29.206163733020468,38.04704253182609,Open Play,high,through_ball,0
16.278820596099706,47.48955292199916,Open Play,high,through_ball,0
39.0,0.0,Open Play,high,none,0
19.697715603592208,23.962488974578186,Open Play,high,through_ball,0
11.180339887498949,10.304846468766033,Open Play,high,through_ball,1
25.632011235952593,20.556045219583467,Open Play,high,through_ball,0
11.045361017187261,5.194428907734806,Penalty,high,none,1
22.80350850198276,15.255118703057777,Open Play,high,through_ball,1
5.0,0.0,Open Play,high,through_ball,0
4.47213595499958,63.43494882292201,Open Play,high,none,1
20.0,0.0,Open Play,high,through_ball,0
11.045361017187261,5.194428907734806,Penalty,high,none,1
25.495097567963924,25.559965171823812,Open Play,high,through_ball,0
17.4928556845359,30.96375653207352,Open Play,high,none,1
12.083045973594572,65.55604521958347,Open Play,high,through_ball,0
16.76305461424021,17.35402463626132,Open Play,high,none,0
5.656854249492381,45.0,Open Play,high,through_ball,0
11.704699910719626,19.98310652189998,Open Play,high,through_ball,1
28.792360097775937,20.323136829662943,Open Play,high,none,0
14.035668847618199,4.085616779974877,Open Play,high,through_ball,0
32.802438933713454,37.568592028827496,Open Play,high,through_ball,0
37.64306044943742,16.990823291986167,Open Play,high,none,0
6.324555320336759,18.43494882292201,Open Play,high,through_ball,0
12.36931687685298,14.036243467926479,Open Play,high,through_ball,0
5.0990195135927845,11.309932474020213,Open Play,high,through_ball,1
30.805843601498726,35.75388725443675,Open Play,high,none,0
9.219544457292887,12.528807709151511,Open Play,high,through_ball,0
17.46424919657298,23.629377730656817,Open Play,high,through_ball,0
23.323807579381203,30.96375653207352,Open Play,high,through_ball,0
17.88854381999832,26.56505117707799,Open Play,high,through_ball,0
20.024984394500787,2.8624052261117474,Open Play,high,through_ball,0
25.495097567963924,25.559965171823812,Open Play,high,none,0
7.615773105863909,23.19859051364819,Open Play,high,through_ball,0
9.055385138137417,6.34019174590991,Open Play,high,through_ball,0
8.06225774829855,29.74488129694222,Open Play,high,through_ball,0
22.847319317591726,23.19859051364819,Open Play,high,none,0
11.40175425099138,15.255118703057777,Open Play,high,through_ball,0
8.246211251235321,75.96375653207353,Open Play,high,through_ball,0
21.93171219946131,24.22774531795417,Open Play,high,through_ball,0
31.11269837220809,45.0,Open Play,high,through_ball,0
6.708203932499369,26.56505117707799,Open Play,high,through_ball,0
20.518284528683193,46.97493401088198,Open Play,high,through_ball,0
30.805843601498726,35.75388725443675,Open Play,high,none,1
25.553864678361276,59.42077312751099,Open Play,high,none,0
19.4164878389476,34.5085229876684,Open Play,high,through_ball,0
34.0,0.0,Open Play,high,through_ball,0
34.23448553724738,6.7098368077569335,Open Play,high,none,0
10.44030650891055,16.69924423399362,Open Play,high,through_ball,0
27.85677655436824,21.037511025421818,Free Kick,high,none,0
12.36931687685298,14.036243467926479,Open Play,high,none,0
12.727922061357855,45.0,Open Play,high,through_ball,1
22.135943621178654,18.43494882292201,Open Play,high,through_ball,0
24.596747752497688,26.56505117707799,Open Play,high,none,0
37.21558813185679,30.699722550814414,Open Play,high,none,0
15.264337522473747,31.6075022462489,Open Play,high,through_ball,0
39.56008088970496,16.14433878028348,Open Play,high,through_ball,0
